Address:,USB0::0x0957::0x179B::MY58106376::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0016867605,4.63404558971524,0.00229899119585752,
,,,-0.0016863965,4.63404558971524,0.010339193046093,
,,,-0.0016860325,4.63404558971524,-0.00976131157949567,
,,,-0.0016856685,4.63404558971524,-0.00172110972926021,
,,,-0.0016853045,4.63404558971524,0.010339193046093,
,,,-0.0016849405,4.5938445776701,-0.00172110972926021,
,,,-0.0016845765,4.63404558971524,-0.00172110972926021,
,,,-0.0016842125,4.63404558971524,0.00229899119585752,
,,,-0.0016838485,4.5938445776701,0.00229899119585752,
,,,-0.0016834845,4.63404558971524,0.00631909212097526,
,,,-0.0016831205,4.5938445776701,-0.00172110972926021,
,,,-0.0016827565,4.5938445776701,-0.00574121065437794,
,,,-0.0016823925,4.63404558971524,0.00229899119585752,
,,,-0.0016820285,4.63404558971524,0.00229899119585752,
,,,-0.0016816645,4.63404558971524,-0.00172110972926021,
,,,-0.0016813005,4.5938445776701,-0.00574121065437794,
,,,-0.0016809365,4.63404558971524,0.00631909212097526,
,,,-0.0016805725,4.63404558971524,0.00229899119585752,
,,,-0.0016802085,4.5938445776701,-0.00574121065437794,
,,,-0.0016798445,4.63404558971524,-0.00172110972926021,
,,,-0.0016794805,4.63404558971524,0.00631909212097526,
,,,-0.0016791165,4.63404558971524,-0.00172110972926021,
,,,-0.0016787525,4.5938445776701,-0.00574121065437794,
,,,-0.0016783885,4.5938445776701,-0.00574121065437794,
,,,-0.0016780245,4.63404558971524,0.00229899119585752,
,,,-0.0016776605,4.63404558971524,0.00229899119585752,
,,,-0.0016772965,4.5938445776701,-0.00574121065437794,
,,,-0.0016769325,4.63404558971524,-0.00172110972926021,
,,,-0.0016765685,4.63404558971524,0.00229899119585752,
,,,-0.0016762045,4.63404558971524,0.00229899119585752,
,,,-0.0016758405,4.5938445776701,-0.00574121065437794,
,,,-0.0016754765,4.63404558971524,0.00229899119585752,
,,,-0.0016751125,4.5938445776701,0.010339193046093,
,,,-0.0016747485,4.63404558971524,0.00229899119585752,
,,,-0.0016743845,4.5938445776701,-0.00574121065437794,
,,,-0.0016740205,4.63404558971524,-0.00172110972926021,
,,,-0.0016736565,4.63404558971524,0.010339193046093,
